REF_DATE,GEO,DGUID,Type of structure,Type of unit,VECTOR,COORDINATE,VALUE,city,province
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,One bedroom units,v3824620,105.4.2,905.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Two bedroom units,v3824808,105.4.3,1030.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Three bedroom units,v3824996,105.4.4,1143.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Bachelor units,v3822826,106.3.1,780.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,One bedroom units,v3822960,106.3.2,936.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Two bedroom units,v3823094,106.3.3,1131.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Three bedroom units,v3823228,106.3.4,1320.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,One bedroom units,v3823496,106.2.2,932.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Two bedroom units,v3823630,106.2.3,1117.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Three bedroom units,v3823764,106.2.4,1272.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
