REF_DATE,GEO,DGUID,Type of structure,Type of unit,VECTOR,COORDINATE,VALUE,city,province
2012,"Truro, Nova Scotia",2011S0504215,Apartment structures of three units and over,Bachelor units,v3824009,14.1.1,489.0,Truro,Nova Scotia
2012,"Truro, Nova Scotia",2011S0504215,Apartment structures of three units and over,One bedroom units,v3824143,14.1.2,597.0,Truro,Nova Scotia
2012,"Truro, Nova Scotia",2011S0504215,Apartment structures of three units and over,Two bedroom units,v3824277,14.1.3,772.0,Truro,Nova Scotia
2012,"Truro, Nova Scotia",2011S0504215,Apartment structures of three units and over,Three bedroom units,v3824411,14.1.4,812.0,Truro,Nova Scotia
2012,"Truro, Nova Scotia",2011S0504215,Apartment structures of six units and over,Bachelor units,v3824597,14.4.1,492.0,Truro,Nova Scotia
2012,"Truro, Nova Scotia",2011S0504215,Apartment structures of six units and over,One bedroom units,v3824785,14.4.2,618.0,Truro,Nova Scotia
2012,"Truro, Nova Scotia",2011S0504215,Apartment structures of six units and over,Two bedroom units,v3824973,14.4.3,770.0,Truro,Nova Scotia
2012,"Truro, Nova Scotia",2011S0504215,Apartment structures of six units and over,Three bedroom units,v3825161,14.4.4,808.0,Truro,Nova Scotia
2012,"Bathurst, New Brunswick",2011S0504328,Row and apartment structures of three units and over,Bachelor units,v3822891,15.3.1,350.0,Bathurst,New Brunswick
2012,"Bathurst, New Brunswick",2011S0504328,Row and apartment structures of three units and over,One bedroom units,v3823025,15.3.2,461.0,Bathurst,New Brunswick
2012,"Bathurst, New Brunswick",2011S0504328,Row and apartment structures of three units and over,Two bedroom units,v3823159,15.3.3,582.0,Bathurst,New Brunswick
2012,"Bathurst, New Brunswick",2011S0504328,Row and apartment structures of three units and over,Three bedroom units,v3823293,15.3.4,574.0,Bathurst,New Brunswick
2012,"Bathurst, New Brunswick",2011S0504328,Row structures of three units and over,Two bedroom units,v3823695,15.2.3,632.0,Bathurst,New Brunswick
2012,"Bathurst, New Brunswick",2011S0504328,Apartment structures of three units and over,Bachelor units,v3823963,15.1.1,350.0,Bathurst,New Brunswick
2012,"Bathurst, New Brunswick",2011S0504328,Apartment structures of three units and over,One bedroom units,v3824097,15.1.2,460.0,Bathurst,New Brunswick
2012,"Bathurst, New Brunswick",2011S0504328,Apartment structures of three units and over,Two bedroom units,v3824231,15.1.3,579.0,Bathurst,New Brunswick
2012,"Bathurst, New Brunswick",2011S0504328,Apartment structures of three units and over,Three bedroom units,v3824365,15.1.4,569.0,Bathurst,New Brunswick
2012,"Bathurst, New Brunswick",2011S0504328,Apartment structures of six units and over,Bachelor units,v3824542,15.4.1,349.0,Bathurst,New Brunswick
2012,"Bathurst, New Brunswick",2011S0504328,Apartment structures of six units and over,One bedroom units,v3824730,15.4.2,468.0,Bathurst,New Brunswick
2012,"Bathurst, New Brunswick",2011S0504328,Apartment structures of six units and over,Two bedroom units,v3824918,15.4.3,594.0,Bathurst,New Brunswick
2012,"Bathurst, New Brunswick",2011S0504328,Apartment structures of six units and over,Three bedroom units,v3825106,15.4.4,567.0,Bathurst,New Brunswick
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",2011S050613330,Row and apartment structures of three units and over,Bachelor units,v3822893,16.3.1,398.0,Campbellton,"New Brunswick part, New Brunswick/Quebec"
